id,id_Cliente,id_Taqueria,Fecha,RFC_Mesero,Es_Efectivo,Es_Tarjeta,Es_Puntos,Total
7657,VOJW540953ZNLBIE53,49,2020-11-25,HHGU599301YI4,true,false,false,718.11
7263,SSTU400356ULNYFXW2,56,2020-11-13,DKLN639184O91,true,false,false,93.78
2543,CDBU268086WUQQGGN2,54,2019-06-02,DJIT1283432T4,true,false,false,781.94
3438,PHAC519300PXZHUJK1,91,2018-11-27,EYSY143860TRA,true,false,false,818.36
6495,ZXYL769154AFSLRH36,9,2019-09-03,DDWU126940S7A,true,false,false,800.05
2107,LXZO001287BQDXWNG3,33,2021-09-10,RUVS519381GX2,true,false,false,925.74
1522,ITPC342781QBSMTK39,29,2020-04-17,XVUB354663MNW,true,false,false,900.55
0069,WBLI414793FQUAQQV5,75,2020-03-28,WXUE759211OPZ,true,false,false,938.48
6810,LXBX543640MWRPRYK6,4,2019-04-16,NRUJ12052234R,true,false,false,510.65
7908,IRWY698575TCEGSZ95,60,2019-02-05,BGRT004386NBT,true,false,false,118.46
1825,BNPK544198XMSSRF98,28,2019-10-21,GFAJ9352280NW,true,false,false,540.38
7042,EVCD780835AEPWEJO3,56,2021-01-01,UVVR840056TAB,true,false,false,982.75
9076,CBLX505390JFRQLLU4,63,2019-09-11,HJUM832077Y41,true,false,false,270.53
8989,YUDP288706XFFBBDQ0,4,2021-02-22,VEHJ932811EMA,true,false,false,885.01
8869,SFEA951763WRDLXQY7,40,2021-02-16,ZLYS674600E1Z,true,false,false,769.05
9571,SLKP736170SNXYYBO8,38,2021-07-28,JGZS1943557YP,true,false,false,945.88
8856,OCFR568524RWPGTB54,70,2020-10-05,JTJZ532021XAA,true,false,false,538.01
0258,SIKL120976HWFEPWA1,2,2020-03-18,BRRQ624271010,true,false,false,255.52
8688,QAGP351816EVPZRI32,80,2020-06-26,BUOL891706762,true,false,false,170.66
5302,PJON605656KMVNUY43,23,2022-01-03,OLFC422679GOX,true,false,false,246.51
4159,XLID496983DEIJQY61,10,2020-10-22,VXFB1454371IU,true,false,false,604.97
3189,ZEKZ221911GAPXTHL5,91,2018-08-16,HDNC728812ECI,true,false,false,546.2
6220,GTRK420390ZDPPQY79,10,2020-09-11,LOOE4495934FU,true,false,false,872.5
1529,NEAA415291JQDQEFC9,27,2021-07-14,FGPW446030EFJ,true,false,false,841.52
8675,BNIT290789ZDTLQMX6,18,2021-04-09,DFSJ641235X4V,true,false,false,659.98
2905,YYCQ393896KPHWAFO7,67,2018-09-03,JOND206757S73,true,false,false,684.74
7325,YUOC746922BFZNZN68,29,2019-11-22,UOWA683980ERH,true,false,false,818.7
9802,SNUE056290SILRFUZ4,50,2019-12-14,WWGO938813MCB,true,false,false,237.49
7585,YDEU567999BHSFBX29,86,2021-08-21,JREI113881QZ8,true,false,false,909.32
0229,JBMM137372FRWURFG1,63,2021-10-05,HZGM386392PRX,true,false,false,757.06
2201,MBSV301473FBBNQGO8,76,2021-04-17,FTRT349879CD5,true,false,false,156.97
7593,SPHP302969LJQWIDZ9,63,2019-04-06,KWSC643487A2U,true,false,false,764.68
0551,QTTY746683LIASEON6,87,2019-02-28,MWDA82854527W,true,false,false,217.21
0343,CZVR508503QEOHXVE3,56,2019-02-19,TAAA955833NI8,true,false,false,538.57
7492,BTSZ879433RNXMXG23,81,2022-04-18,CJQX425858HDQ,true,false,false,818.81
7451,MTUM974032GHQCXDW7,23,2019-02-03,ZQXE1671333SB,true,false,false,826.62
9176,RNEG334540TGFAQDL0,11,2020-07-07,PDMK977130PG6,true,false,false,674.09
3008,SKZV580399YTBOAQV2,57,2022-04-09,GNVN619580QAA,true,false,false,417.64
0945,EVDZ428486EYVVUTO5,54,2021-05-10,HOFV177007TT4,true,false,false,223.01
3602,HFCZ304731KPELZUX3,50,2019-11-03,ARXD356708E1L,true,false,false,773.5
4384,SZMH147855LQJGKLE7,99,2022-01-27,MTBM880091YPC,true,false,false,161.58
3751,CBTG326403LYENTQO9,22,2019-10-01,FRUL1637706S0,true,false,false,797.11
2700,ZVCU797910VRGTLNI5,6,2018-06-28,WKFG9165176B6,true,false,false,819.63
8726,XJDT190149ZROKIJ44,67,2021-04-09,SAAF104917L51,true,false,false,319.78
7190,WPHP195054HYJFJF56,23,2022-03-18,UAGD6606719WD,true,false,false,878.08
5956,EUGK035402FXHTQCS4,70,2021-01-03,FAZJ876307YYN,true,false,false,612.44
5177,RCUR849046CNMNSPG3,4,2019-06-30,NLHB463851O54,true,false,false,601.57
6761,XJBR734711JPVBVZO0,40,2019-04-17,WMKN7303434BJ,true,false,false,906.64
8480,OSNG408008IYJDOEA3,53,2022-04-11,ICDC8200444E9,true,false,false,88.98
5256,EJRO066479SIPXGBC7,19,2019-09-01,KNYA141365OAV,true,false,false,311.5
0702,STOG364439WXYZFSU3,92,2020-07-21,PWAN164580YDD,true,false,false,864.27
1136,SZEV390313VIATAS15,78,2019-10-28,XGFE217480T2D,true,false,false,141.36
7797,EFJE132207SXZUJAD6,13,2019-10-26,FQNE367065GAS,true,false,false,558.71
9014,FNBU312071LKAJRPJ6,79,2020-09-24,LLQU8917989PE,true,false,false,331.98
1731,GUEZ111529BVOSKMV1,32,2019-11-01,ZCEW501368BCL,true,false,false,565.05
5263,SVKZ105757BFTGLXC2,12,2019-09-09,WHOA850333U0C,true,false,false,541.15
9304,QXZN730186RZYFCG59,94,2019-08-26,BAWY057841YXL,true,false,false,357.9
2861,REEC198651PHNJHC39,61,2021-04-11,UFOI5079704TK,true,false,false,485.02
0592,MSTZ352553WDDOWPE0,74,2022-02-04,QMNJ36555124W,true,false,false,892.55
4549,JMAH203179BAKZGZP6,77,2019-11-09,OTTZ6543036JK,true,false,false,516.31
8833,CBKV862697ZNLJMWB6,51,2021-09-23,XQMF246567G20,true,false,false,908.22
2734,JDFA606536NCYSNN23,43,2020-09-30,DBZN4003092VY,true,false,false,720.89
0380,NADV249799YUUWRFW7,43,2018-09-18,ZNRT304091OO1,true,false,false,617.02
9139,AVSK035956RAPKVBD5,92,2019-04-23,IFRR655019E8G,true,false,false,837.5
1722,GMHP951803VYQRLZL4,37,2022-01-05,GVMB234145QD6,true,false,false,247.92
5075,BNOR233913EPNIZA89,17,2021-04-25,OPID212599NBW,true,false,false,361.98
2592,MUQX376862CJOVDDJ9,76,2018-07-10,XUOD5732496FD,true,false,false,550.89
1560,SAXG687499HODQLXW1,51,2019-11-20,LVPA0064712XE,true,false,false,80.34
8023,BAPP877772EXHKPZ41,16,2019-05-17,ZBVE527233VAV,true,false,false,183.5
5412,FOVC757827ZRCIVNX2,38,2021-02-02,NORQ488428ZD1,true,false,false,992.47
3213,DPLZ382153GTALNQY1,57,2020-02-24,QSHK555493SYX,true,false,false,261.27
4266,VNYJ000047OSVCITU8,70,2019-12-21,FWBV8552507Y4,true,false,false,777.76
9208,DEYH980412AMBBNGA0,21,2019-11-29,HWMH529575YBD,true,false,false,688.18
4421,WUCV081824XBFIDYE4,89,2020-07-29,EGLG7470116K4,true,false,false,80.94
7330,XVYG757697CXAVKW94,39,2020-08-08,TGXE0152083JA,true,false,false,567.85
6344,ZWPO758912MLXYNED8,79,2019-05-04,AAEG618127GMI,true,false,false,575.56
6958,CQOE374833XFGQCJ29,10,2021-11-08,BJWU8863357NN,true,false,false,169.54
1689,SHSY518866EUOYSIN9,13,2021-01-13,GJGO594350E2S,true,false,false,571.78
7923,JAHL008838SBEEUV82,89,2020-06-08,ADAZ349363DYO,true,false,false,338.49
1879,XHTU673751BQVSHTN6,70,2019-04-04,MZJX828842TLR,true,false,false,256.71
5019,IRBR132409BESTEGQ5,73,2019-10-27,RFGT3071207ZF,true,false,false,849.98
3694,SUGD171174XIJPEHI0,49,2019-11-19,MQNO178951GX0,true,false,false,577.7
5357,RLFD306045CCDGIK56,16,2020-06-07,KVED52225099Q,true,false,false,927.68
6842,LQST346032KTKIPIA0,56,2019-01-09,GWFG326838DJ6,true,false,false,550.36
4845,XURL384427JEPNHKV3,73,2019-01-18,MUFD927426XHN,true,false,false,228.68
2236,JPJH704520WATFOG39,52,2020-10-14,NLXK916475EF5,true,false,false,674.04
6835,PQRO414742NEXEJM68,13,2019-06-01,NLGP031120966,true,false,false,953.31
2469,DCFJ906222AYPKLLH5,9,2020-12-25,IKHM571765L0C,true,false,false,559.73
9688,KXHM781528HSKLSNN1,99,2022-02-24,TAYD075513GIB,true,false,false,365.49
2953,ERAI000344DOPOBDT9,53,2018-06-18,UHFG926000OLH,true,false,false,521.17
5354,KOBJ939556QWRCRCV9,41,2020-09-19,DELQ105319CIO,true,false,false,210.29
8444,DVZX300452SEXEWNS8,89,2020-09-05,KIVZ929370BLP,true,false,false,253.21
6223,QXXF559841NKLEMF06,74,2019-11-30,RUWA142827BMD,true,false,false,400.52
4669,ICDS201956BCUDZIN4,18,2021-06-03,WVVC608425FZO,true,false,false,457.55
9368,MFYR595712UZAMRBJ7,10,2020-04-24,NSIB715480PPT,true,false,false,633.62
6945,XRSZ788799SVBCDV96,84,2019-10-27,VKSD783606ZJA,true,false,false,625.0
3563,ULIC946756WXVGDUT6,2,2022-06-10,HJGA154481LE0,true,false,false,393.9
9514,GXTK114602TRKEYA43,43,2021-11-16,XAXB816012DQP,true,false,false,531.57
4735,PYXB998993RJXAXPX2,59,2021-10-27,SPDG586300BUN,true,false,false,648.66
4512,ALOC613271OPXYSEW1,73,2019-06-17,TYMJ622437A13,true,false,false,879.87
8437,GXPE001819YFGGCII0,61,2018-10-16,RWPP145760ESA,true,false,false,907.96
9810,WCAQ759648SIOKVYE3,49,2020-10-06,LCYY660942E2I,true,false,false,660.68
2993,IWMW135131ZDTFYJA5,83,2021-09-27,WTCE925193YHN,true,false,false,89.88
7791,TCDJ068569SWOTYFK0,85,2019-03-03,BNVJ07780541F,true,false,false,958.59
9427,RKBG617996HQGJPUR3,41,2020-02-23,KGBC996141812,true,false,false,645.91
0340,LJMW004375YOGTMAW4,72,2020-05-02,VUMK063461FVE,true,false,false,242.38
3859,PUVL236067OINWGB53,40,2022-02-06,ZCOQ736343GLQ,true,false,false,432.68
7941,DDCH256414SMLBWZ81,27,2022-01-23,DHWB850207X5G,true,false,false,492.51
0015,MLVZ128301IURGFGL2,13,2018-08-31,XWFQ550389YRF,true,false,false,71.83
6929,DZJY169842QMATLF81,75,2020-03-14,DVTJ40382108V,true,false,false,72.9
9255,UXHD191972FTBTALW9,63,2020-05-01,SOSB020230NYT,true,false,false,739.98
2593,ICPK975851UHICGNH8,86,2019-03-05,CIDE057887E38,true,false,false,131.67
1117,PEIU880121GJDVMTA2,3,2018-12-20,LRGJ7866626MO,true,false,false,448.76
5005,MSAB389507LZQKMTX7,12,2020-04-18,UGRR206043A50,true,false,false,405.12
8671,JIFA577429LDBBCBX5,7,2018-12-22,EYNV54201182K,true,false,false,182.09
6318,JZAS653671VPACMI34,87,2020-03-06,ZLNS13752483V,true,false,false,840.63
5201,MINZ670767MNJJKSO9,9,2019-09-02,AYDX8473064DI,true,false,false,640.79
2855,LUBI397386LFFXZA87,80,2019-01-14,YLGD206941L1S,true,false,false,955.91
0015,WXRA344717KUIAHUZ0,19,2019-10-17,DOLV184570WOO,true,false,false,191.67
8668,PJCN338036HCJUPND6,38,2019-05-16,ASKX105317M3Y,true,false,false,441.72
8628,XINA170920VYXGDUH7,21,2019-06-27,KCLK414779K53,true,false,false,209.7
3945,QBGA242130FBBONOW0,14,2020-12-02,WGRN486907BOW,true,false,false,998.12
8331,CZZB679604PAQBYTC2,37,2021-10-13,LNLN652757V0Z,true,false,false,75.67
7853,FBEB347665PGSJZMZ8,22,2020-01-17,QLZD029705B4O,true,false,false,83.33
3494,JBZN075063FEAMFS52,30,2021-09-04,EAXJ177166EKA,true,false,false,678.74
3834,ZORG250200FDAAWLH9,67,2018-10-08,UCJE163280074,true,false,false,171.35
5862,HXHS519012VEADSFH1,51,2020-04-10,DSGS373421FGO,true,false,false,566.19
5974,KRVX537948ZSOAAPP9,36,2019-12-09,DBNI206860IIH,true,false,false,303.93
6396,QVFJ256540TXVFECV0,91,2020-12-03,NIXY203235AXD,true,false,false,382.96
4255,LOJA716841CQVOJKZ6,31,2021-06-29,YIGC111317BEF,true,false,false,911.67
8765,IZCM111976KMKIBEL0,84,2021-03-29,GMJO351267Q55,true,false,false,724.0
8647,PUYR670355AXUMAN79,35,2018-06-10,NVAE479856G4M,true,false,false,863.14
4096,UZHN023826PLLUCKT9,28,2022-05-30,XGXG900570EOY,true,false,false,911.65
2168,SRLD480166IERUZQL4,93,2021-07-03,PHLC667360SJN,true,false,false,623.3
4228,URYE675039IDMTCC55,31,2019-07-08,DTIO6691150ZU,true,false,false,843.19
6441,ADRS989138PTDWVLY3,96,2022-02-09,AULE162709B12,true,false,false,657.21
5442,IBJE845822XVVFOEM3,74,2020-10-06,HCGO915272X9V,true,false,false,238.67
3426,XOEG081822RTFUQMF2,63,2020-10-19,PSAT037735Z4N,true,false,false,647.16
9171,RJPG891596BODHCKL4,42,2021-04-07,AAJA221970I8Z,true,false,false,563.15
2654,HTWH665104UXHBMVO1,40,2019-09-04,RYJJ709173DZ6,true,false,false,916.2
4320,MHND185698WJKKGAA5,78,2018-12-13,OKEZ0871757L4,true,false,false,882.83
7765,FTOD771708YFGJCZ12,71,2019-08-27,MFFR1503820LO,true,false,false,698.23
7900,ERNW293234VPYJVSQ3,50,2020-02-18,QHWP290594EOR,true,false,false,860.53
7593,TMOH303145DKLPZVL2,1,2020-02-02,SNLO476401J7D,true,false,false,661.13
5293,XPSZ093477QMGCGTL2,53,2021-04-13,MHXR738861EL5,true,false,false,791.05
6767,ZLMQ071147GZDRMD33,63,2018-10-01,XQFC898651GFN,true,false,false,882.73
2614,UNXO788396ROFZYVU0,82,2019-02-17,SNMD4104666NF,true,false,false,907.99
6207,ONWZ773056WNWSXHA5,77,2022-03-19,KDKC3736966L1,true,false,false,565.74
4968,VFUC503748SSTFOG30,4,2020-07-01,NTES3288328XF,true,false,false,557.9
6402,SSXT573758PCSFAF85,52,2021-08-29,FQYY052516W4N,true,false,false,988.23
0450,ACUV120442VTKVUMN4,71,2021-11-06,KEKA86787199T,true,false,false,243.66
2742,EDQZ300947RJADGB24,37,2018-09-30,ESSU674773EL4,true,false,false,858.5
4699,ZTFW191946QSPVSZL4,22,2021-03-15,AYFF959469EM9,true,false,false,710.11
1464,GBKO629190JVDPBBJ6,56,2019-09-20,PBBN199857P08,true,false,false,280.34
6279,LBQV064603YOGXWK91,17,2022-04-21,YQOU1834098J4,true,false,false,108.18
9303,HDOM098116BBDGBP38,94,2018-10-04,QIJH392266RIL,true,false,false,616.84
8541,XQKO742775ASLOYBQ5,84,2021-04-04,ORXS0314917X8,true,false,false,224.5
3070,UWIK913220OCPINJY2,98,2021-08-06,UCNA866903YAV,true,false,false,337.93
5255,DXDE963999LOKQPAA8,57,2018-10-02,JASE068123BBE,true,false,false,290.56
1363,UTNC023028HGYUOO65,2,2019-05-22,KYLO194167E0W,true,false,false,686.26
6522,AROM235439RAKQJU06,26,2019-05-19,XULP3072304BK,true,false,false,702.92
1531,GQLU235947EEFGZXA2,13,2020-11-22,YDQD85115736P,true,false,false,530.85
